category_class	label	definition	synonyms	subsets	crossreferences
MONDO:0003589	liposarcoma of the ovary	A malignant adipose tissue neoplasm of the ovary.	ovary liposarcoma; liposarcoma of ovary; ovarian liposarcoma	mondo:is_cancer_member; mondo:anatomical_muscle_disorder; mondo:rare; mondo:harrisons_view_reproductive_system_disorder; mondo:mondo_top_grouping_endocrine_system_disorder; mondo:txgnn_cancer; mondo:tag_qaly_lost_member; mondo:harrisons_view_member; mondo:harrisons_view_endocrine_system_disorder; mondo:medical_specialization_obstetrics_and_gynecology; mondo:medical_specialization_oncology; mondo:tag_existing_treatment_member; mondo:is_glucose_dysfunction_member; mondo:tag_qaly_lost_high; mondo:mondo_txgnn_endocrine_system_disorder; mondo:is_cancer_true; mondo:mondo_txgnn_cancer_or_benign_tumor; mondo:mondo_top_grouping_connective_tissue_disorder; mondo:txgnn_member; mondo:is_pathogen_caused_false; mondo:harrisons_view_connective_tissue_disorder; mondo:txgnn_inflammatory_disease; mondo:mondo_txgnn_member; mondo:is_glucose_dysfunction_false; mondo:tag_qualy_lost_other; mondo:tag_existing_treatment_false; mondo:mondo_top_grouping_member; mondo:harrisons_view_cancer_or_benign_tumor; mondo:anatomical_member; mondo:gard_rare; mondo:anatomical_reproductive_system_disorder; mondo:medical_specialization_member; mondo:mondo_top_grouping_cancer_or_benign_tumor; mondo:mondo_top_grouping_reproductive_system_disorder; mondo:txgnn_other; mondo:is_pathogen_caused_member	MEDGEN:233808; NCIT:C6419; DOID:5697; UMLS:C1335165
MONDO:0007911	lipoprotein, variant of beta		lipoprotein, variant of beta	mondo:is_pathogen_caused_member; mondo:txgnn_cardiovascular_disorder; mondo:tag_existing_treatment_member; mondo:mondo_txgnn_other; mondo:anatomical_liver_disorder; mondo:is_pathogen_caused_false; mondo:medical_specialization_endocrinology; mondo:medical_specialization_genetics_and_genomics; mondo:is_glucose_dysfunction_member; mondo:medical_specialization_hematology; mondo:matrix_excluded; mondo:is_glucose_dysfunction_false; mondo:tag_qaly_lost_none; mondo:harrisons_view_hereditary_disease; mondo:medical_specialization_member; mondo:anatomical_vascular_disorder; mondo:tag_qaly_lost_member; mondo:is_cancer_false; mondo:harrisons_view_member; mondo:tag_qualy_lost_other; mondo:anatomical_member; mondo:mondo_top_grouping_member; mondo:mondo_top_grouping_hereditary_disease; mondo:unclassified_hereditary; mondo:txgnn_member; mondo:is_cancer_member; mondo:txgnn_metabolic_disorder; mondo:tag_existing_treatment_false; mondo:medical_specialization_cardiology	OMIM:152400; UMLS:C1835357; MEDGEN:322642
MONDO:0007910	lipoprotein types--Lt system		lipoprotein types--Lt system	mondo:is_pathogen_caused_member; mondo:txgnn_cardiovascular_disorder; mondo:tag_existing_treatment_member; mondo:mondo_txgnn_other; mondo:anatomical_liver_disorder; mondo:is_pathogen_caused_false; mondo:medical_specialization_endocrinology; mondo:medical_specialization_hepatology; mondo:is_glucose_dysfunction_member; mondo:matrix_excluded; mondo:is_glucose_dysfunction_false; mondo:tag_qaly_lost_none; mondo:harrisons_view_hereditary_disease; mondo:medical_specialization_member; mondo:tag_qaly_lost_member; mondo:is_cancer_false; mondo:harrisons_view_member; mondo:tag_qualy_lost_other; mondo:anatomical_member; mondo:mondo_top_grouping_member; mondo:mondo_top_grouping_hereditary_disease; mondo:unclassified_hereditary; mondo:txgnn_member; mondo:is_cancer_member; mondo:txgnn_metabolic_disorder; mondo:tag_existing_treatment_false; mondo:medical_specialization_cardiology; mondo:anatomical_lipoprotein_types__lt_system	OMIM:152300; UMLS:C1835359; MEDGEN:322644
MONDO:0002813	lipomatous cancer	A malignant mesenchymal neoplasm arising from adipocytes.	malignant neoplasm of adipose tissue; malignant tumour of the adipose tissue; malignant neoplasm of the adipose tissue; malignant tumour of adipose tissue; malignant lipomatous tumor; malignant tumor of adipose tissue; adipose tissue cancer; malignant adipose tissue neoplasm; cancer of adipose tissue; malignant tumor of the adipose tissue; malignant adipose tissue tumor; malignant lipomatous neoplasm; malignant adipose tissue tumour; malignant lipomatous tumour	mondo:medical_specialization_member; mondo:tag_existing_treatment_member; mondo:is_pathogen_caused_false; mondo:tag_qaly_lost_high; mondo:mondo_txgnn_cancer_or_benign_tumor; mondo:medical_specialization_general; mondo:txgnn_adrenal_gland_disease; mondo:is_cancer_true; mondo:is_glucose_dysfunction_member; mondo:mondo_top_grouping_connective_tissue_disorder; mondo:anatomical_skin_disorder; mondo:harrisons_view_connective_tissue_disorder; mondo:harrisons_view_cancer_or_benign_tumor; mondo:harrisons_view_member; mondo:medical_specialization_; mondo:medical_specialization_oncology; mondo:anatomical_member; mondo:is_glucose_dysfunction_false; mondo:otar; mondo:medical_specialization_dermatology; mondo:txgnn_cancer; mondo:is_pathogen_caused_member; mondo:mondo_top_grouping_cancer_or_benign_tumor; mondo:anatomical_muscle_disorder; mondo:mondo_txgnn_member; mondo:is_cancer_member; mondo:tag_qaly_lost_member; mondo:tag_existing_treatment_false; mondo:mondo_top_grouping_member; mondo:txgnn_member; mondo:tag_qualy_lost_other	SCTID:254828009; NCIT:C4501; ICD9:171.9; DOID:3939
MONDO:0006574	lipomatosis	A neoplastic process characterized by diffuse overgrowth of mature adipose tissue.	lipomatosis; Madelung disease; Launois-Bensaude syndrome; Madelung's disease	mondo:mondo_top_grouping_musculoskeletal_system_disorder; mondo:tag_qualy_lost_other; mondo:txgnn_autoimmune_diseases; mondo:harrisons_view_connective_tissue_disorder; mondo:txgnn_cancer; mondo:mondo_txgnn_member; mondo:is_pathogen_caused_member; mondo:is_cancer_member; mondo:medical_specialization_dermatology; mondo:tag_qaly_lost_member; mondo:anatomical_member; mondo:is_glucose_dysfunction_member; mondo:medical_specialization_orthopaedic; mondo:harrisons_view_musculoskeletal_system_disorder; mondo:harrisons_view_cancer_or_benign_tumor; mondo:mondo_top_grouping_connective_tissue_disorder; mondo:tag_existing_treatment_member; mondo:is_cancer_false; mondo:mondo_top_grouping_member; mondo:medical_specialization_member; mondo:tag_existing_treatment_false; mondo:txgnn_metabolic_disorder; mondo:harrisons_view_member; mondo:txgnn_member; mondo:otar; mondo:is_glucose_dysfunction_false; mondo:mondo_txgnn_cancer_or_benign_tumor; mondo:is_pathogen_caused_false; mondo:txgnn_inflammatory_disease; mondo:anatomical_skin_disorder; mondo:mondo_top_grouping_cancer_or_benign_tumor; mondo:anatomical_muscle_disorder; mondo:tag_qaly_lost_medium	NCIT:C3193; UMLS:C0023801; SCTID:402693001; EFO:1000728; ICD9:272.8; MESH:D008068; DOID:3153; Wikipedia:Lipomatosis; MEDGEN:9781
MONDO:0021630	lipoma of face	A lipoma that involves the face.	face lipoma	mondo:is_glucose_dysfunction_false; mondo:mondo_txgnn_cancer_or_benign_tumor; mondo:is_pathogen_caused_false; mondo:txgnn_member; mondo:txgnn_cancer; mondo:tag_qaly_lost_low; mondo:txgnn_; mondo:anatomical_skin_disorder; mondo:tag_qaly_lost_member; mondo:tag_existing_treatment_member; mondo:tag_qualy_lost_other; mondo:medical_specialization_dermatology; mondo:medical_specialization_other; mondo:is_cancer_member; mondo:medical_specialization_member; mondo:harrisons_view_member; mondo:harrisons_view_connective_tissue_disorder; mondo:is_pathogen_caused_member; mondo:harrisons_view_musculoskeletal_system_disorder; mondo:txgnn_other; mondo:mondo_top_grouping_connective_tissue_disorder; mondo:mondo_top_grouping_member; mondo:txgnn_inflammatory_disease; mondo:mondo_txgnn_member; mondo:anatomical_member; mondo:medical_specialization_otolaryngology; mondo:is_cancer_false; mondo:is_glucose_dysfunction_member; mondo:harrisons_view_cancer_or_benign_tumor; mondo:tag_existing_treatment_false; mondo:mondo_top_grouping_cancer_or_benign_tumor; mondo:anatomical_muscle_disorder; mondo:mondo_top_grouping_musculoskeletal_system_disorder	SCTID:93159009; MEDGEN:509492; ICD9:214.0; UMLS:C0153968
MONDO:0005106	lipoma	A benign, usually painless, well-circumscribed lipomatous tumor composed of adipose tissue.	benign tumor of adipose tissue; lipomatous neoplasm (morphologic abnormality); lipomatosis, familial multiple; benign tumour of adipose tissue; lipoma; lipoma, benign	mondo:mondo_txgnn_member; mondo:tag_existing_treatment_member; mondo:txgnn_member; mondo:harrisons_view_musculoskeletal_system_disorder; mondo:medical_specialization_member; mondo:otar; mondo:harrisons_view_connective_tissue_disorder; mondo:is_cancer_member; mondo:mondo_top_grouping_cancer_or_benign_tumor; mondo:tag_existing_treatment_false; mondo:anatomical_bone_disorder; mondo:mondo_txgnn_cancer_or_benign_tumor; mondo:is_pathogen_caused_member; mondo:mondo_top_grouping_musculoskeletal_system_disorder; mondo:txgnn_cancer; mondo:anatomical_member; mondo:tag_qaly_lost_low; mondo:medical_specialization_orthopaedic; mondo:medical_specialization_dermatology; mondo:harrisons_view_member; mondo:anatomical_muscle_disorder; mondo:is_cancer_false; mondo:tag_qaly_lost_member; mondo:anatomical_joint_disorder; mondo:tag_qualy_lost_other; mondo:is_glucose_dysfunction_member; mondo:anatomical_skin_disorder; mondo:mondo_top_grouping_member; mondo:mondo_top_grouping_connective_tissue_disorder; mondo:txgnn_other; mondo:harrisons_view_cancer_or_benign_tumor; mondo:is_glucose_dysfunction_false; mondo:is_pathogen_caused_false	ICD9:214.9; MESH:D008067; EFO:0000759; DOID:3315; NCIT:C3192; ICDO:8850/0; UMLS:C0023798; SCTID:93163002; icd11.foundation:1090000716; MEDGEN:44173; SCTID:254831005; ICD9:214
MONDO:0013488	lipodystrophy, partial, acquired, with low complement component c3, with or without glomerulonephritis		APLDC3	mondo:is_cancer_member; mondo:medical_specialization_dermatology; mondo:txgnn_autoimmune_diseases; mondo:anatomical_immune_disorder; mondo:unclassified_hereditary; mondo:medical_specialization_rheumatology; mondo:anatomical_skin_disorder; mondo:tag_qaly_lost_member; mondo:tag_qaly_lost_medium; mondo:matrix_excluded; mondo:is_pathogen_caused_member; mondo:mondo_top_grouping_member; mondo:anatomical_kidney_disorder; mondo:anatomical_member; mondo:tag_existing_treatment_member; mondo:tag_qualy_lost_other; mondo:tag_existing_treatment_false; mondo:txgnn_member; mondo:is_glucose_dysfunction_member; mondo:medical_specialization_renal_medicine; mondo:mondo_top_grouping_hereditary_disease; mondo:harrisons_view_hereditary_disease; mondo:is_pathogen_caused_false; mondo:txgnn_metabolic_disorder; mondo:medical_specialization_endocrinology; mondo:is_cancer_false; mondo:is_glucose_dysfunction_true; mondo:mondo_txgnn_other; mondo:medical_specialization_member; mondo:harrisons_view_member; mondo:txgnn_inflammatory_disease	OMIM:613913; UMLS:C3151347; MEDGEN:462697
MONDO:0006573	lipodystrophy	A congenital or acquired disorder characterized by abnormal loss or redistribution of the adipose tissue in the body.	lipodystrophy; lipodsystrophic syndrome; lipodystrophy (disease); lipodsystrophic syndromes	mondo:harrisons_view_metabolic_disease; mondo:harrisons_view_integumentary_system_disorder; mondo:tag_qualy_lost_other; mondo:txgnn_autoimmune_diseases; mondo:mondo_txgnn_member; mondo:is_pathogen_caused_member; mondo:is_cancer_member; mondo:medical_specialization_dermatology; mondo:tag_qaly_lost_member; mondo:is_glucose_dysfunction_true; mondo:mondo_top_grouping_integumentary_system_disorder; mondo:anatomical_member; mondo:is_glucose_dysfunction_member; mondo:anatomical_endocrine_disorder; mondo:mondo_subtype; mondo:txgnn_adrenal_gland_disease; mondo:mondo_top_grouping_metabolic_disease; mondo:tag_existing_treatment_member; mondo:is_cancer_false; mondo:mondo_top_grouping_member; mondo:medical_specialization_member; mondo:tag_existing_treatment_false; mondo:medical_specialization_endocrinology; mondo:mondo_txgnn_metabolic_disease; mondo:txgnn_metabolic_disorder; mondo:harrisons_view_member; mondo:txgnn_member; mondo:otar; mondo:is_pathogen_caused_false; mondo:anatomical_skin_disorder; mondo:tag_qaly_lost_high	NCIT:C97093; NANDO:2200404; SCTID:71325002; EFO:1000727; ICD9:272.6; NANDO:1200858; Wikipedia:Lipodystrophy; MEDGEN:6111; UMLS:C0023787; HP:0009125; NANDO:2100147; MESH:D008060; DOID:811
MONDO:0003570	lipid-rich carcinoma	A carcinoma characterized by the presence of malignant epithelial cells with clear cytoplasm which contains neutral lipids. A representative example is the lipid-rich breast carcinoma.	lipid-rich carcinoma (morphologic abnormality); lipid-rich carcinoma	mondo:medical_specialization_member; mondo:is_pathogen_caused_member; mondo:is_cancer_member; mondo:txgnn_cancer; mondo:tag_qaly_lost_member; mondo:harrisons_view_member; mondo:anatomical_liver_disorder; mondo:tag_existing_treatment_member; mondo:medical_specialization_oncology; mondo:mondo_txgnn_cancer_or_benign_tumor; mondo:txgnn_member; mondo:is_glucose_dysfunction_member; mondo:is_pathogen_caused_false; mondo:tag_qaly_lost_high; mondo:txgnn_lipid_rich_carcinoma_is_a_type_of_skin_cancer_therefore_also___adrenal_gland_disease__some_cases_; mondo:is_cancer_true; mondo:is_glucose_dysfunction_false; mondo:tag_existing_treatment_false; mondo:mondo_txgnn_member; mondo:tag_qualy_lost_other; mondo:harrisons_view_cancer_or_benign_tumor; mondo:anatomical_member; mondo:mondo_top_grouping_member; mondo:mondo_top_grouping_cancer_or_benign_tumor; mondo:medical_specialization_dermatology; mondo:medical_specialization_pathology; mondo:anatomical_skin_disorder	UMLS:C0334318; MEDGEN:137742; DOID:5658; NCIT:C4152; ICDO:8314/3
MONDO:0007905	lip, hamartomatous		lip, hamartomatous	mondo:tag_qaly_lost_low; mondo:tag_existing_treatment_member; mondo:medical_specialization_pediatric; mondo:mondo_txgnn_other; mondo:is_pathogen_caused_member; mondo:is_pathogen_caused_false; mondo:anatomical_liver_disorder; mondo:medical_specialization_genetics_and_genomics; mondo:is_glucose_dysfunction_member; mondo:matrix_excluded; mondo:anatomical_upper_gastrointestinal_disorder; mondo:is_glucose_dysfunction_false; mondo:harrisons_view_hereditary_disease; mondo:medical_specialization_member; mondo:tag_qaly_lost_member; mondo:tag_qualy_lost_other; mondo:is_cancer_false; mondo:anatomical_member; mondo:harrisons_view_member; mondo:mondo_top_grouping_member; mondo:txgnn_adrenal_gland_disease; mondo:unclassified_hereditary; mondo:mondo_top_grouping_hereditary_disease; mondo:medical_specialization_oncology; mondo:anatomical_lower_gastrointestinal_disorder; mondo:txgnn_metabolic_disorder; mondo:tag_existing_treatment_false; mondo:txgnn_member; mondo:is_cancer_member; mondo:txgnn_inflammatory_disease	MEDGEN:331965; OMIM:151640; UMLS:C1835395; MESH:C563621
MONDO:0021249	lip neoplasm	A neoplasm (disease) that involves the lip.	tumour of lip; neoplasm of lip; tumor of lip; tumour of the Lip; lip tumour; neoplasm of the Lip; lip tumor; tumour of Lip; neoplasm of Lip; lip neoplasm (disease); tumor of Lip; lip neoplasms; tumor of the Lip	mondo:is_cancer_true; mondo:tag_qualy_lost_other; mondo:tag_qaly_lost_member; mondo:mondo_top_grouping_mouth_disorder; mondo:is_pathogen_caused_member; mondo:anatomical_upper_gastrointestinal_disorder; mondo:is_glucose_dysfunction_member; mondo:tag_existing_treatment_member; mondo:is_cancer_member; mondo:mondo_txgnn_member; mondo:anatomical_lip_neoplasm____liver_disorder; mondo:medical_specialization_oncology; mondo:txgnn_; mondo:is_pathogen_caused_false; mondo:txgnn_member; mondo:otar; mondo:is_glucose_dysfunction_false; mondo:medical_specialization_other; mondo:tag_qaly_lost_medium; mondo:mondo_txgnn_cancer_or_benign_tumor; mondo:txgnn_cancer; mondo:anatomical_lymphatic_disorder; mondo:harrisons_view_cancer_or_benign_tumor; mondo:mondo_top_grouping_cancer_or_benign_tumor; mondo:medical_specialization_member; mondo:mondo_top_grouping_member; mondo:medical_specialization_dermatology; mondo:anatomical_member; mondo:txgnn_lip_neoplasm; mondo:harrisons_view_member; mondo:tag_existing_treatment_true	SCTID:126770008; ICD10CM:C00-C14; NCIT:C3191; UMLS:C0023761; MEDGEN:9777
MONDO:0004748	lip disorder	A disease involving the lip.	lip disorder; disorder of lip; lip disease; disease of lips; disease or disorder of lip; lip disease or disorder; disease of lip	mondo:txgnn_lip_disorder; mondo:tag_existing_treatment_member; mondo:is_cancer_member; mondo:txgnn_metabolic_disorder; mondo:tag_existing_treatment_true; mondo:medical_specialization_otolaryngology; mondo:is_glucose_dysfunction_false; mondo:anatomical_lip_disorder; mondo:medical_specialization_dermatology; mondo:medical_specialization_pediatric; mondo:tag_qualy_lost_other; mondo:mondo_top_grouping_member; mondo:anatomical_member; mondo:is_pathogen_caused_false; mondo:medical_specialization_member; mondo:is_glucose_dysfunction_member; mondo:medical_specialization_oral_pathology_is_removed_and_replaced_by_genetics_and_genomics; mondo:harrisons_view_other; mondo:tag_qaly_lost_medium; mondo:tag_qaly_lost_member; mondo:mondo_txgnn_other; mondo:txgnn_member; mondo:is_cancer_false; mondo:is_pathogen_caused_member; mondo:otar; mondo:anatomical_liver_disorder; mondo:mondo_top_grouping_mouth_disorder	DOID:9297; MEDGEN:44166; MESH:D008047; ICD9:528.5; UMLS:C0023760; NCIT:C26818; SCTID:90678009
MONDO:0006834	lip cancer	A primary or metastatic malignant neoplasm involving the lip.	malignant Lip tumour; malignant neoplasm of lower lip, oral aspect; malignant neoplasm of lip, unspecified, inner aspect; malignant Lip neoplasm; malignant neoplasm of lip, unspecified; malignant tumour of lower labial mucosa; malignant neoplasm of lower lip, inner aspect; malignant tumour of Lip; malignant tumor of labial commissure; malignant neoplasm of lower lip, buccal aspect; malignant neoplasm of commissure of lip; malignant tumor of commissure of lip; malignant tumour of lip; malignant neoplasm of lip, external; malignant neoplasm of labial commissure of lip; lip cancer; malignant tumour of labial commissure; malignant neoplasm of vermilion border of lip; malignant tumor of Lip; malignant neoplasm of external Lip, not specified as upper or lower; malignant tumor of the Lip; cancer of lip; malignant neoplasm of lip, inner aspect; malignant tumor of labial mucosa; malignant Lip tumor; malignant neoplasm of lip; malignant tumour of the Lip; malignant tumor of lip; malignant tumour of labial mucosa; malignant neoplasm of lip, vermilion border; malignant neoplasm of other sites of lip; malignant neoplasm of Lip; malignant neoplasm of the Lip; malignant neoplasm of oral aspect of lip, not specified whether upper or lower; malignant tumor of lower labial mucosa; malignant neoplasm of lip, unspecified, vermilion border; malignant neoplasm of lower lip, mucosa; malignant tumour of commissure of lip; malignant lip neoplasm	mondo:mondo_txgnn_member; mondo:medical_specialization_dermatology; mondo:is_cancer_true; mondo:mondo_top_grouping_digestive_system_disorder; mondo:anatomical_member; mondo:harrisons_view_digestive_system_disorder; mondo:tag_qaly_lost_medium; mondo:txgnn_autoimmune_diseases; mondo:mondo_top_grouping_member; mondo:otar; mondo:tag_existing_treatment_true; mondo:tag_qualy_lost_other; mondo:txgnn_member; mondo:mondo_top_grouping_cancer_or_benign_tumor; mondo:is_glucose_dysfunction_member; mondo:harrisons_view_member; mondo:harrisons_view_cancer_or_benign_tumor; mondo:mondo_txgnn_cancer_or_benign_tumor; mondo:is_glucose_dysfunction_false; mondo:anatomical_oral_disorder; mondo:medical_specialization_oncology; mondo:mondo_top_grouping_mouth_disorder; mondo:medical_specialization_member; mondo:tag_existing_treatment_member; mondo:tag_qaly_lost_member; mondo:is_pathogen_caused_member; mondo:is_pathogen_caused_false; mondo:txgnn_cancer; mondo:anatomical_skin_disorder; mondo:is_cancer_member	MedDRA:10007089; MEDGEN:57548; ICD9:140; EFO:1001019; ICD9:140.8; MESH:D008048; SCTID:187622006; ICD9:140.6; ICD9:140.5; ICD10CM:C00; NCIT:C7485; DOID:8564; UMLS:C0153340
MONDO:0044710	lip and oral cavity squamous cell carcinoma	A squamous cell carcinoma arising from the lip or the oral cavity. The oral cavity squamous cell carcinoma usually arises from the buccal mucosa, tongue, or gums. It occurs predominantly in adults who use tobacco and alcohol and has a tendency to metastasize early to lymph nodes.	lip and oral cavity squamous cell cancer; lip and oral cavity squamous cell carcinoma; lip/oral cavity squam. cell car.	mondo:is_pathogen_caused_false; mondo:medical_specialization_gastroenterology; mondo:tag_qaly_lost_high; mondo:mondo_top_grouping_otorhinolaryngologic_disease; mondo:txgnn_cancer; mondo:anatomical_member; mondo:txgnn_member; mondo:mondo_top_grouping_cancer_or_benign_tumor; mondo:anatomical_skin_disorder; mondo:otar; mondo:mondo_top_grouping_member; mondo:is_glucose_dysfunction_member; mondo:tag_existing_treatment_true; mondo:medical_specialization_dermatology; mondo:mondo_txgnn_cancer_or_benign_tumor; mondo:medical_specialization_oncology; mondo:txgnn_oral_cavity_disease; mondo:disease_grouping; mondo:is_glucose_dysfunction_false; mondo:medical_specialization_member; mondo:is_pathogen_caused_member; mondo:mondo_txgnn_member; mondo:ordo_group_of_disorders; mondo:anatomical_teeth_disorder; mondo:harrisons_view_member; mondo:tag_qaly_lost_member; mondo:medical_specialization_otolaryngology; mondo:is_cancer_member; mondo:is_cancer_true; mondo:tag_qualy_lost_other; mondo:rare; mondo:tag_existing_treatment_member; mondo:anatomical_oral_cavity_disorder; mondo:harrisons_view_cancer_or_benign_tumor; mondo:gard_rare; mondo:harrisons_view_otorhinolaryngologic_disease	MEDGEN:124714; GARD:22046; NCIT:C42690; Orphanet:502369; UMLS:C0280297
MONDO:0023644	lip and oral cavity carcinoma	A carcinoma arising in the lip or oral cavity. Most oral cavity carcinomas are squamous cell carcinomas of the tongue, buccal mucosa, or gums. Less frequent morphologic variants include mucoepidermoid carcinoma and adenocarcinoma. Lip carcinomas are usually basal cell or squamous cell carcinomas.	lip and oral cavity carcinoma; oral carcinoma; oral cancer; lip and oral cavity cancer	mondo:is_pathogen_caused_member; mondo:tag_existing_treatment_member; mondo:is_cancer_member; mondo:tag_qaly_lost_member; mondo:txgnn_inflammatory_disease; mondo:is_pathogen_caused_false; mondo:tag_qaly_lost_high; mondo:is_glucose_dysfunction_member; mondo:is_cancer_true; mondo:tag_qualy_lost_other; mondo:medical_specialization_pediatric; mondo:txgnn_member; mondo:otar; mondo:harrisons_view_cancer_or_benign_tumor; mondo:mondo_top_grouping_member; mondo:medical_specialization_oncology; mondo:anatomical_member; mondo:txgnn_cancer; mondo:mondo_top_grouping_cancer_or_benign_tumor; mondo:is_glucose_dysfunction_false; mondo:medical_specialization_otolaryngology; mondo:anatomical_teeth_disorder; mondo:mondo_txgnn_cancer_or_benign_tumor; mondo:mondo_txgnn_member; mondo:anatomical_oral_cavity_carcinoma; mondo:medical_specialization_member; mondo:harrisons_view_member; mondo:tag_existing_treatment_true	NCIT:C9315; MEDGEN:67387; UMLS:C0220641
MONDO:1040022	linkeropathy	Group of rare heritable connective tissue disorders, characterized by a variable degree of short stature, skeletal dysplasia, joint laxity, cutaneous anomalies, dysmorphism, heart malformation, and developmental delay. The LK genes encode for enzymes that add glycosaminoglycan chains onto proteoglycans via a common tetrasaccharide linker region.		mondo:tag_qaly_lost_high; mondo:mondo_top_grouping_connective_tissue_disorder; mondo:medical_specialization_neurology; mondo:medical_specialization_genetics_and_genomics; mondo:medical_specialization_orthopaedic; mondo:is_glucose_dysfunction_false; mondo:anatomical_muscle_disorder; mondo:mondo_top_grouping_hereditary_disease; mondo:tag_existing_treatment_member; mondo:matrix_excluded; mondo:is_glucose_dysfunction_member; mondo:harrisons_view_disorder_of_development_or_morphogenesis; mondo:harrisons_view_musculoskeletal_system_disorder; mondo:mondo_top_grouping_member; mondo:anatomical_member; mondo:harrisons_view_hereditary_disease; mondo:txgnn_metabolic_disorder; mondo:tag_existing_treatment_false; mondo:is_cancer_member; mondo:is_pathogen_caused_false; mondo:harrisons_view_member; mondo:medical_specialization_; mondo:txgnn_neurodegenerative_disease; mondo:mondo_top_grouping_syndromic_disease; mondo:is_pathogen_caused_member; mondo:mondo_top_grouping_disorder_of_development_or_morphogenesis; mondo:tag_qaly_lost_member; mondo:txgnn_member; mondo:mondo_top_grouping_musculoskeletal_system_disorder; mondo:harrisons_view_connective_tissue_disorder; mondo:mondo_txgnn_other; mondo:is_cancer_false; mondo:tag_qualy_lost_other; mondo:anatomical_joint_disorder; mondo:medical_specialization_pediatrics; mondo:medical_specialization_rheumatology; mondo:medical_specialization_member; mondo:harrisons_view_syndromic_disease	
MONDO:0958345	limited dorsal myeloschisis	A rare dysraphic abnormality characterized by a persistent connection between the neural tissue and overlying skin. The stalk-like connection consists of a fibroneural tract (mainly composed of fibrous attenuated mesenchymal tissue and neural elements without an epithelial lining) connecting the skin lesion to the underlying dorsal surface of the spinal cord. Fibroneural stalk varies in thickness and complexity and they pass through the deep fascia, a bifid lamina/ the interspinous ligament, and the dura. It can be associated with filum anomaly. Chiari II malformation is not present.		mondo:ordo_group_of_disorders; mondo:txgnn_; mondo:harrisons_view_nervous_system_disorder; mondo:tag_qualy_lost_other; mondo:is_pathogen_caused_member; mondo:txgnn_cancer; mondo:is_cancer_false; mondo:txgnn_inflammatory_disease; mondo:harrisons_view_member; mondo:tag_qaly_lost_member; mondo:txgnn_neurodegenerative_disease; mondo:is_glucose_dysfunction_member; mondo:is_pathogen_caused_false; mondo:tag_existing_treatment_member; mondo:mondo_txgnn_other; mondo:mondo_top_grouping_disorder_of_development_or_morphogenesis; mondo:txgnn_autoimmune_diseases; mondo:gard_rare; mondo:txgnn_metabolic_disorder; mondo:anatomical_spinal_disorder; mondo:txgnn_anemia; mondo:medical_specialization_oncology; mondo:tag_existing_treatment_false; mondo:anatomical_member; mondo:mondo_top_grouping_member; mondo:medical_specialization_member; mondo:mondo_top_grouping_nervous_system_disorder; mondo:txgnn_member; mondo:medical_specialization_hematology; mondo:anatomical_blood_bone_marrow_disorder; mondo:is_glucose_dysfunction_false; mondo:tag_qaly_lost_medium; mondo:is_cancer_member; mondo:rare; mondo:harrisons_view_disorder_of_development_or_morphogenesis	UMLS:C5781237; Orphanet:645196; MEDGEN:1853137
MONDO:0015588	limbic encephalitis	A group of autoimmune conditions characterized by inflammation of the limbic system and other parts of the brain.The cardinal sign of limbic encephalitis is a severe impairment of short-term memory; however,symptoms may also include confusion, psychiatric symptoms, and seizures.The symptomstypically develop over a few weeks or months, but they may evolve over a few days. Limbic encephalitis is often associated with an underlying neoplasm (paraneoplastic limbic encephalitis); however some cases never have a neoplasm identified (non-paraneoplastic limbic encephalitis). Delayed diagnosis is common, but improvements are being made to assist in early detection. Various tests including imaging studies (MRI, PET) laboratory tests (CSF analysis), and tests that measure the electrical activity of the brain (EEG) may be utilized to confirm a diagnosis. Treatment includes removal of the neoplasm (if identified) and immunotherapy.		mondo:tag_qaly_lost_high; mondo:harrisons_view_nervous_system_disorder; mondo:tag_existing_treatment_true; mondo:medical_specialization_member; mondo:txgnn_neurodegenerative_disease; mondo:harrisons_view_inflammatory_disease; mondo:rare; mondo:anatomical_brain_disorder; mondo:is_glucose_dysfunction_member; mondo:mondo_top_grouping_acute_disease; mondo:gard_rare; mondo:disease_grouping; mondo:is_cancer_member; mondo:anatomical_member; mondo:is_glucose_dysfunction_false; mondo:tag_qaly_lost_member; mondo:mondo_top_grouping_member; mondo:txgnn_member; mondo:medical_specialization_neurology; mondo:txgnn_inflammatory_disease; mondo:tag_existing_treatment_member; mondo:nord_rare; mondo:medical_specialization_psychiatry; mondo:is_cancer_false; mondo:mondo_top_grouping_nervous_system_disorder; mondo:is_pathogen_caused_member; mondo:mondo_txgnn_other; mondo:mondo_top_grouping_inflammatory_disease; mondo:harrisons_view_member; mondo:tag_qualy_lost_other; mondo:txgnn_autoimmune_diseases; mondo:is_pathogen_caused_true; mondo:anatomical_immune_disorder	UMLS:C0338430; ICD9:323.9; SCTID:230192003; MEDGEN:137895; Orphanet:163892; GARD:8742; DOID:0080741; MESH:D020363
